time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-09-07 00:00:00+00:00,1350,93,605,208
2026-09-08 00:00:00+00:00,145,84,614,222
2026-09-09 00:00:00+00:00,2496,72,581,244
2026-09-10 00:00:00+00:00,135,75,505,181
2026-09-11 00:00:00+00:00,972,64,522,213
2026-09-12 00:00:00+00:00,368,60,408,191
2026-09-13 00:00:00+00:00,1756,75,439,189
2026-09-14 00:00:00+00:00,184,95,497,219
2026-09-15 00:00:00+00:00,531,85,665,278
2026-09-16 00:00:00+00:00,381,92,619,259
2026-09-17 00:00:00+00:00,1497,86,584,237
2026-09-18 00:00:00+00:00,271,82,597,231
2026-09-19 00:00:00+00:00,827,97,483,224
2026-09-20 00:00:00+00:00,533,88,704,239
