referrer,views_total,views_unique
bambuddy.cool,1840,926
Google,1630,743
hackaday.com,1115,779
github.com,1095,287
wiki.bambuddy.cool,446,174
DuckDuckGo,135,76
Bing,127,56
itsfoss.com,121,84
youtube.com,108,58
search.brave.com,90,43
