referrer,views_total,views_unique
bambuddy.cool,1198,573
Google,1044,500
github.com,918,241
wiki.bambuddy.cool,355,144
DuckDuckGo,172,63
hackaday.com,108,45
yandex.ru,65,5
Bing,58,33
search.brave.com,49,28
qwant.com,45,5
