referrer,views_total,views_unique
bambuddy.cool,1453,747
Google,1408,627
github.com,912,250
china-gadgets.de,502,352
hackaday.com,455,265
wiki.bambuddy.cool,356,135
DuckDuckGo,191,109
Bing,176,78
youtube.com,96,59
blog.adafruit.com,66,40
