referrer,views_total,views_unique
Google,1020,469
bambuddy.cool,971,506
github.com,682,205
wiki.bambuddy.cool,299,123
DuckDuckGo,197,64
hackaday.com,69,37
Bing,69,36
search.brave.com,55,26
teams.public.onecdn.static.microsoft,33,4
youtube.com,29,20
