referrer,views_total,views_unique
bambuddy.cool,2168,1011
Google,1662,709
github.com,1017,284
wiki.bambuddy.cool,450,172
DuckDuckGo,111,64
search.brave.com,103,52
youtube.com,93,46
Bing,87,43
comments.jeffgeerling.com,57,32
forum.bambulab.com,50,11
