referrer,views_total,views_unique
bambuddy.cool,1131,548
Google,1045,499
github.com,929,242
wiki.bambuddy.cool,332,141
DuckDuckGo,174,61
hackaday.com,110,44
yandex.ru,66,6
Bing,60,35
qwant.com,41,5
search.brave.com,40,24
