referrer,views_total,views_unique
bambuddy.cool,1834,937
Google,1699,757
hackaday.com,1236,876
github.com,1125,299
wiki.bambuddy.cool,440,176
DuckDuckGo,181,102
Bing,173,67
youtube.com,141,76
itsfoss.com,123,84
search.brave.com,87,42
