referrer,views_total,views_unique
bambuddy.cool,2132,974
Google,1651,716
github.com,1104,292
wiki.bambuddy.cool,409,153
search.brave.com,115,61
DuckDuckGo,111,66
youtube.com,109,56
Bing,65,37
comments.jeffgeerling.com,64,38
forum.bambulab.com,47,9
