referrer,views_total,views_unique
Google,986,464
bambuddy.cool,957,509
github.com,683,194
wiki.bambuddy.cool,274,117
DuckDuckGo,175,63
Bing,69,36
hackaday.com,64,35
search.brave.com,54,26
teams.public.onecdn.static.microsoft,33,4
youtube.com,31,20
