url_path,views_total,views_unique
/maziggy/bambuddy,3631,1936
/maziggy/bambuddy/issues,1062,272
/maziggy/bambuddy/releases,453,257
/maziggy/bambuddy/releases/tag/v0.2.4.8,308,230
/maziggy/bambuddy/pulls,183,93
/maziggy/bambuddy/blob/main/docker-compose.yml,106,66
/maziggy/bambuddy/releases/tag/v0.2.4.9,98,84
/maziggy/bambuddy/blob/main/slicer-api/README.md,86,65
/maziggy/bambuddy/blob/main/docs/images/proxy-mode-diagram.png,81,76
/maziggy/bambuddy/blob/main/BACKERS.md,74,67
