referrer,views_total,views_unique
bambuddy.cool,2069,898
Google,1744,723
github.com,1379,375
wiki.bambuddy.cool,419,151
DuckDuckGo,168,96
search.brave.com,159,85
youtube.com,140,91
forum.bambuddy.cool,119,14
Bing,68,42
comments.jeffgeerling.com,49,38
