time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-06-05 00:00:00+00:00,246,134,1121,305
2026-06-06 00:00:00+00:00,312,147,909,275
2026-06-07 00:00:00+00:00,325,138,918,231
2026-06-08 00:00:00+00:00,543,178,744,257
2026-06-09 00:00:00+00:00,828,187,1251,391
2026-06-10 00:00:00+00:00,728,174,781,308
2026-06-11 00:00:00+00:00,434,118,743,285
2026-06-12 00:00:00+00:00,748,150,960,341
2026-06-13 00:00:00+00:00,467,117,896,312
2026-06-14 00:00:00+00:00,827,213,2486,1216
2026-06-15 00:00:00+00:00,363,112,1345,671
2026-06-16 00:00:00+00:00,668,157,1054,499
2026-06-17 00:00:00+00:00,532,144,1070,478
2026-06-18 00:00:00+00:00,493,119,973,428
