referrer,views_total,views_unique
Google,1011,471
bambuddy.cool,1003,499
github.com,818,236
wiki.bambuddy.cool,286,120
DuckDuckGo,177,62
hackaday.com,67,31
Bing,62,34
yandex.ru,54,8
teams.public.onecdn.static.microsoft,36,6
search.brave.com,32,19
