referrer,views_total,views_unique
bambuddy.cool,1930,850
Google,1613,687
github.com,1201,305
wiki.bambuddy.cool,396,143
youtube.com,138,82
search.brave.com,132,60
DuckDuckGo,120,71
comments.jeffgeerling.com,71,44
forum.bambuddy.cool,58,5
Bing,53,36
