referrer,views_total,views_unique
bambuddy.cool,1557,791
Google,1459,639
github.com,910,269
hackaday.com,716,450
china-gadgets.de,501,350
wiki.bambuddy.cool,370,141
DuckDuckGo,210,117
Bing,181,82
youtube.com,109,68
blog.adafruit.com,66,40
