referrer,views_total,views_unique
bambuddy.cool,1828,920
Google,1669,762
hackaday.com,1174,837
github.com,1071,287
wiki.bambuddy.cool,440,176
DuckDuckGo,166,91
Bing,136,61
youtube.com,124,66
itsfoss.com,122,84
search.brave.com,87,41
