time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-06-19 00:00:00+00:00,699,189,1204,429
2026-06-20 00:00:00+00:00,1050,240,999,436
2026-06-21 00:00:00+00:00,745,178,881,338
2026-06-22 00:00:00+00:00,693,160,924,336
2026-06-23 00:00:00+00:00,683,148,804,286
2026-06-24 00:00:00+00:00,450,108,780,293
2026-06-25 00:00:00+00:00,711,150,884,310
2026-06-26 00:00:00+00:00,583,146,802,261
2026-06-27 00:00:00+00:00,622,126,788,245
2026-06-28 00:00:00+00:00,1148,96,795,271
2026-06-29 00:00:00+00:00,657,145,768,281
2026-06-30 00:00:00+00:00,299,84,647,243
2026-07-01 00:00:00+00:00,635,114,649,236
2026-07-02 00:00:00+00:00,973,80,512,230
