referrer,views_total,views_unique
bambuddy.cool,2188,1024
Google,1693,709
github.com,941,271
wiki.bambuddy.cool,476,175
DuckDuckGo,122,66
search.brave.com,103,51
Bing,89,45
youtube.com,87,41
comments.jeffgeerling.com,47,25
forum.bambulab.com,47,10
