referrer,views_total,views_unique
bambuddy.cool,1258,592
Google,1030,484
github.com,932,249
wiki.bambuddy.cool,386,150
DuckDuckGo,147,61
hackaday.com,125,59
china-gadgets.de,67,43
yandex.ru,66,6
Bing,56,32
qwant.com,51,5
