time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-08-26 00:00:00+00:00,118,73,594,175
2026-08-27 00:00:00+00:00,1507,88,604,205
2026-08-28 00:00:00+00:00,261,100,592,209
2026-08-29 00:00:00+00:00,365,90,760,214
2026-08-30 00:00:00+00:00,295,72,642,220
2026-08-31 00:00:00+00:00,455,70,537,220
2026-09-01 00:00:00+00:00,882,62,406,195
2026-09-02 00:00:00+00:00,120,71,500,199
2026-09-03 00:00:00+00:00,196,74,461,188
2026-09-04 00:00:00+00:00,224,73,509,187
2026-09-05 00:00:00+00:00,167,79,440,163
2026-09-06 00:00:00+00:00,111,76,415,176
2026-09-07 00:00:00+00:00,1350,93,605,208
2026-09-08 00:00:00+00:00,145,84,614,222
