time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-06-25 00:00:00+00:00,711,150,884,310
2026-06-26 00:00:00+00:00,583,146,802,261
2026-06-27 00:00:00+00:00,622,126,788,245
2026-06-28 00:00:00+00:00,1148,96,795,271
2026-06-29 00:00:00+00:00,657,145,768,281
2026-06-30 00:00:00+00:00,299,84,647,243
2026-07-01 00:00:00+00:00,635,114,649,236
2026-07-02 00:00:00+00:00,973,80,512,230
2026-07-03 00:00:00+00:00,325,89,708,259
2026-07-04 00:00:00+00:00,223,69,532,219
2026-07-05 00:00:00+00:00,301,79,626,239
2026-07-06 00:00:00+00:00,342,109,820,237
2026-07-07 00:00:00+00:00,569,101,776,259
2026-07-08 00:00:00+00:00,277,81,623,280
