time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-08-16 00:00:00+00:00,782,91,634,209
2026-08-17 00:00:00+00:00,8620,58,712,244
2026-08-18 00:00:00+00:00,174,52,694,265
2026-08-19 00:00:00+00:00,141,56,676,299
2026-08-20 00:00:00+00:00,1349,61,523,210
2026-08-21 00:00:00+00:00,702,67,538,195
2026-08-22 00:00:00+00:00,509,66,634,159
2026-08-23 00:00:00+00:00,1756,85,498,179
2026-08-24 00:00:00+00:00,425,92,628,229
2026-08-25 00:00:00+00:00,201,81,659,220
2026-08-26 00:00:00+00:00,118,73,594,175
2026-08-27 00:00:00+00:00,1507,88,604,205
2026-08-28 00:00:00+00:00,261,100,592,209
2026-08-29 00:00:00+00:00,365,90,760,214
