time_iso8601,forks_cumulative
2025-12-31 00:00:00+00:00,2
2026-01-09 00:00:00+00:00,3
2026-01-18 00:00:00+00:00,6
2026-01-19 00:00:00+00:00,8
2026-01-21 00:00:00+00:00,9
2026-01-22 00:00:00+00:00,10
2026-01-24 00:00:00+00:00,11
2026-01-29 00:00:00+00:00,12
2026-01-30 00:00:00+00:00,14
2026-02-01 00:00:00+00:00,15
2026-02-02 00:00:00+00:00,17
2026-02-03 00:00:00+00:00,20
2026-02-07 00:00:00+00:00,22
2026-02-08 00:00:00+00:00,29
2026-02-09 00:00:00+00:00,32
2026-02-10 00:00:00+00:00,36
2026-02-11 00:00:00+00:00,39
2026-02-12 00:00:00+00:00,43
2026-02-13 00:00:00+00:00,44
2026-02-15 00:00:00+00:00,45
2026-02-18 00:00:00+00:00,46
2026-02-21 00:00:00+00:00,47
2026-02-23 00:00:00+00:00,49
2026-02-24 00:00:00+00:00,50
2026-02-26 00:00:00+00:00,51
2026-03-02 00:00:00+00:00,52
2026-03-03 00:00:00+00:00,55
2026-03-06 00:00:00+00:00,57
2026-03-07 00:00:00+00:00,59
2026-03-08 00:00:00+00:00,60
2026-03-09 00:00:00+00:00,61
2026-03-11 00:00:00+00:00,63
2026-03-12 00:00:00+00:00,64
2026-03-13 00:00:00+00:00,65
2026-03-15 00:00:00+00:00,67
2026-03-17 00:00:00+00:00,68
2026-03-21 00:00:00+00:00,69
2026-03-24 00:00:00+00:00,70
2026-03-27 00:00:00+00:00,71
2026-03-28 00:00:00+00:00,72
2026-03-30 00:00:00+00:00,73
2026-04-01 00:00:00+00:00,74
2026-04-04 00:00:00+00:00,75
2026-04-06 00:00:00+00:00,76
2026-04-07 00:00:00+00:00,77
2026-04-08 00:00:00+00:00,78
2026-04-09 00:00:00+00:00,80
2026-04-10 00:00:00+00:00,82
2026-04-12 00:00:00+00:00,83
2026-04-15 00:00:00+00:00,84
2026-04-17 00:00:00+00:00,85
2026-04-18 00:00:00+00:00,87
2026-04-20 00:00:00+00:00,88
2026-04-21 00:00:00+00:00,90
2026-04-24 00:00:00+00:00,91
2026-04-25 00:00:00+00:00,92
2026-04-26 00:00:00+00:00,93
2026-04-27 00:00:00+00:00,94
2026-04-28 00:00:00+00:00,95
2026-04-29 00:00:00+00:00,96
2026-04-30 00:00:00+00:00,97
2026-05-01 00:00:00+00:00,99
2026-05-03 00:00:00+00:00,100
2026-05-06 00:00:00+00:00,106
2026-05-07 00:00:00+00:00,107
2026-05-08 00:00:00+00:00,112
2026-05-09 00:00:00+00:00,114
2026-05-10 00:00:00+00:00,119
2026-05-11 00:00:00+00:00,121
2026-05-12 00:00:00+00:00,126
2026-05-13 00:00:00+00:00,134
2026-05-14 00:00:00+00:00,144
2026-05-15 00:00:00+00:00,152
2026-05-16 00:00:00+00:00,156
2026-05-17 00:00:00+00:00,160
2026-05-18 00:00:00+00:00,163
2026-05-19 00:00:00+00:00,167
2026-05-20 00:00:00+00:00,174
2026-05-21 00:00:00+00:00,176
2026-05-22 00:00:00+00:00,179
2026-05-23 00:00:00+00:00,181
2026-05-25 00:00:00+00:00,186
2026-05-26 00:00:00+00:00,187
2026-05-27 00:00:00+00:00,189
2026-05-29 00:00:00+00:00,192
2026-05-30 00:00:00+00:00,198
2026-05-31 00:00:00+00:00,206
2026-06-01 00:00:00+00:00,207
2026-06-02 00:00:00+00:00,210
2026-06-03 00:00:00+00:00,213
2026-06-04 00:00:00+00:00,218
2026-06-05 00:00:00+00:00,220
2026-06-06 00:00:00+00:00,222
2026-06-08 00:00:00+00:00,223
2026-06-09 00:00:00+00:00,224
2026-06-10 00:00:00+00:00,225
2026-06-11 00:00:00+00:00,227
2026-06-12 00:00:00+00:00,229
2026-06-13 00:00:00+00:00,231
2026-06-14 00:00:00+00:00,242
2026-06-15 00:00:00+00:00,249
2026-06-16 00:00:00+00:00,255
2026-06-17 00:00:00+00:00,258
2026-06-18 00:00:00+00:00,261
2026-06-19 00:00:00+00:00,262
2026-06-21 00:00:00+00:00,263
2026-06-22 00:00:00+00:00,265
2026-06-23 00:00:00+00:00,267
2026-06-26 00:00:00+00:00,269
2026-06-27 00:00:00+00:00,272
2026-06-28 00:00:00+00:00,273
2026-06-29 00:00:00+00:00,274
2026-07-01 00:00:00+00:00,276
2026-07-02 00:00:00+00:00,277
2026-07-03 00:00:00+00:00,279
2026-07-05 00:00:00+00:00,280
2026-07-07 00:00:00+00:00,282
2026-07-08 00:00:00+00:00,283
2026-07-09 00:00:00+00:00,285
2026-07-10 00:00:00+00:00,286
2026-07-11 00:00:00+00:00,288
2026-07-12 00:00:00+00:00,289
2026-07-13 00:00:00+00:00,290
2026-07-14 00:00:00+00:00,292
2026-07-16 00:00:00+00:00,293
2026-07-17 00:00:00+00:00,296
2026-07-18 00:00:00+00:00,299
2026-07-19 00:00:00+00:00,302
2026-07-21 00:00:00+00:00,303
2026-07-22 00:00:00+00:00,306
2026-07-23 00:00:00+00:00,307
2026-07-24 00:00:00+00:00,310
2026-07-25 00:00:00+00:00,311
2026-07-26 00:00:00+00:00,315
2026-07-27 00:00:00+00:00,320
2026-07-28 00:00:00+00:00,323
2026-07-29 00:00:00+00:00,325
2026-07-30 00:00:00+00:00,330
2026-07-31 00:00:00+00:00,333
2026-08-01 00:00:00+00:00,335
2026-08-02 00:00:00+00:00,338
2026-08-03 00:00:00+00:00,340
2026-08-05 00:00:00+00:00,343
2026-08-07 00:00:00+00:00,344
2026-08-08 00:00:00+00:00,347
2026-08-10 00:00:00+00:00,350
2026-08-11 00:00:00+00:00,351
2026-08-12 00:00:00+00:00,352
2026-08-15 00:00:00+00:00,354
2026-08-16 00:00:00+00:00,357
2026-08-17 00:00:00+00:00,360
2026-08-19 00:00:00+00:00,361
2026-08-20 00:00:00+00:00,363
2026-08-21 00:00:00+00:00,364
2026-08-22 00:00:00+00:00,366
2026-08-24 00:00:00+00:00,368
2026-08-27 00:00:00+00:00,369
2026-08-28 00:00:00+00:00,371
2026-08-29 00:00:00+00:00,373
2026-08-30 00:00:00+00:00,374
2026-09-01 00:00:00+00:00,375
2026-09-02 00:00:00+00:00,377
2026-09-03 00:00:00+00:00,378
2026-09-05 00:00:00+00:00,379
2026-09-06 00:00:00+00:00,381
2026-09-07 00:00:00+00:00,383
2026-09-08 00:00:00+00:00,384
2026-09-09 00:00:00+00:00,385
2026-09-11 00:00:00+00:00,386
2026-09-13 00:00:00+00:00,387
2026-09-14 00:00:00+00:00,390
2026-09-15 00:00:00+00:00,391
2026-09-16 00:00:00+00:00,394
2026-09-17 00:00:00+00:00,396
2026-09-18 00:00:00+00:00,401
2026-09-21 00:00:00+00:00,404
2026-09-23 00:00:00+00:00,406
2026-09-24 00:00:00+00:00,408
